Date,l730,R840,D192,B781,T424,a856,p550,f691,z690,U399,O629,j288,Y250,W231,h406,o176,S965,O424,q165,F568,m182,m885,X337,q276,M822,S297,K877,F741,l973,u618,v673,D455,g256,D374,E936,Y945,m761,t950,r686,K703,M225,q303,V809,H779,U774,G341,A501
2000-01-03,10.921600526225582,1.128407472554435,2.7530082306706527,1.1899928583785655,1.8411284724809478,1.8150932218378084,2.4223177815177173,17.227725511176615,1.039322830065699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.005450081749553,184.94102808737298,
2000-01-04,10.59304029745071,1.0966323214762754,2.7011853161330976,1.1379715682127434,1.7993494185905679,1.7649471637861247,2.398998753948331,16.353722871208824,1.007971527728923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.033299011260793,182.84949017997167,
2000-01-05,10.462752332180996,1.1160076652950872,2.7724411193138403,1.1290304073803963,1.7832071358196675,1.7570808094132857,2.4981065599520864,16.110940388400028,1.0334076120437652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.005450081749553,181.9925385275457,
2000-01-06,10.581718109157512,1.1369331380664889,2.879321132537506,1.1786129316884104,1.7889052940013423,1.7806789207878195,2.5622352706492304,15.576820514903332,1.031633197266623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.033299011260793,182.2249276883333,
2000-01-07,11.080206986931337,1.2090085810085596,2.910090763394088,1.198121333966033,1.8107443720027292,1.8485234196088056,2.560778058942363,15.848744203589378,1.0405060686022993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.061147940772035,181.36797603590733,
2000-01-10,11.023557901692138,1.1818832046074836,2.885799409725139,1.1769870539678162,1.9959009502341527,1.8485234196088056,2.5520322563467195,16.450831098284386,1.0440556070009972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.144694729305757,182.3120714073591,
2000-01-11,10.961248652642277,1.1818832046074836,2.8890374797131146,1.1574794632595304,1.942728476251698,1.8249253082342718,2.5214273285151485,15.984694132812516,1.0328153725366036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.033299011260793,182.38469412824,
2000-01-12,10.898936612584613,1.1880829333283902,2.876084616885298,1.180239012301339,1.9104445921854916,1.8032934999297523,2.484989597052298,15.91671281347034,1.0221683522404397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25609044735072,181.29535331502643,
2000-01-13,10.955584767487881,1.1942826620492966,2.9262846105894456,1.2160035541845602,1.9674147592860385,1.8377079913285377,2.4951921365383516,16.062380714472965,1.0127043046642212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.423184024418168,188.23809252330344,
2000-01-14,10.927258829364387,1.1981584654298827,2.908471145524187,1.2444528129560286,1.9503236921189844,1.8249253082342718,2.4777029054293505,16.431411041551925,1.020985645337149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.367486165395686,181.46965848323447,
2000-01-18,10.864950510650452,1.1780073137725138,2.9440974927787904,1.2029982570046465,1.9142422853035843,1.8229591955130537,2.4179456715806573,16.51880765157861,1.0168444876701512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.395335094906926,181.9780175294008,
2000-01-19,10.842292179025078,1.186533241647719,2.934381534187124,1.198934424995581,1.9598192026809549,1.8170597152566195,2.3713066668089717,16.54794568009055,1.0174361069384512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.590277601485614,182.70424473820984,
2000-01-20,10.695010697620317,1.1702581557340874,2.934381534187124,1.1769870539678162,1.9446268968884979,1.8052603740461577,2.308635800907305,16.645060261896724,1.0221683522404397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.590277601485614,182.16682596559727,
